metric_id,metric_name,score,condition,evidence_required,notes
C1,"Профиль косметики и парфюмерии",0,"нет подтверждения категории","нет",""
C1,"Профиль косметики и парфюмерии",1,"общий фулфилмент без профильной фактуры","официальный сайт",""
C1,"Профиль косметики и парфюмерии",2,"категория упомянута в общем перечне","официальный сайт",""
C1,"Профиль косметики и парфюмерии",3,"есть отдельные операции или заметная категорийная страница","официальная страница",""
C1,"Профиль косметики и парфюмерии",4,"есть профильная страница и подробный процесс","официальная страница",""
C1,"Профиль косметики и парфюмерии",5,"есть профильная страница + кейс/несколько доказательств категории","официальная страница/кейс",""
C2,"Входной контроль",0,"нет подтверждения","нет",""
C2,"Входной контроль",1,"только пересчет","официальный сайт",""
C2,"Входной контроль",2,"визуальный брак","официальный сайт",""
C2,"Входной контроль",3,"проверка целостности или сроков","официальная страница",""
C2,"Входной контроль",4,"несколько категорийных проверок","официальная страница/кейс",""
C2,"Входной контроль",5,"протечки/бой + сроки/артикулы/партии или подробный кейс","официальная страница/кейс",""
C3,"Упаковка и защита",0,"нет подтверждения","нет",""
C3,"Упаковка и защита",1,"только базовая упаковка","официальный сайт",""
C3,"Упаковка и защита",2,"один защитный формат","официальный сайт",""
C3,"Упаковка и защита",3,"ВПП/ZIP/короб с выбором под товар","официальный сайт",""
C3,"Упаковка и защита",4,"несколько схем для жидкостей/стекла","официальная страница",""
C3,"Упаковка и защита",5,"несколько схем + профильный процесс/кейс","официальная страница/кейс",""
C4,"Честный знак и маркировка",0,"нет подтверждения","нет",""
C4,"Честный знак и маркировка",1,"только обычный штрихкод","официальный сайт",""
C4,"Честный знак и маркировка",2,"Честный знак упомянут без процесса","официальный сайт",""
C4,"Честный знак и маркировка",3,"печать/нанесение DataMatrix","официальная страница",""
C4,"Честный знак и маркировка",4,"контроль сканирования/учет кодов","официальная страница",""
C4,"Честный знак и маркировка",5,"системный контроль КИЗ, сканирование и операции с маркировкой","официальная страница/кейс",""
C5,"Комплектация наборов",0,"нет подтверждения","нет",""
C5,"Комплектация наборов",1,"вложения","официальный сайт",""
C5,"Комплектация наборов",2,"простые комплекты","официальный сайт",""
C5,"Комплектация наборов",3,"сборка наборов по ТЗ","официальная страница",""
C5,"Комплектация наборов",4,"наборы + контроль состава/маркировка","официальная страница",""
C5,"Комплектация наборов",5,"профильные косметические наборы или сильный кейс kitting","официальная страница/кейс",""
C6,"Скорость и крупные партии",0,"нет данных","нет",""
C6,"Скорость и крупные партии",1,"общие обещания","официальный сайт",""
C6,"Скорость и крупные партии",2,"есть одна масштабная цифра","официальный сайт",""
C6,"Скорость и крупные партии",3,"есть SLA или мощность","официальный сайт",""
C6,"Скорость и крупные партии",4,"измеримый профильный кейс или несколько показателей","официальный кейс",""
C6,"Скорость и крупные партии",5,"крупный профильный кейс с объемом и сроком или высокая подтвержденная мощность","официальный кейс",""
C7,"FBO/FBS и маркетплейсы",0,"нет подтверждения","нет",""
C7,"FBO/FBS и маркетплейсы",1,"только подготовка","официальный сайт",""
C7,"FBO/FBS и маркетплейсы",2,"одна схема/площадка","официальный сайт",""
C7,"FBO/FBS и маркетплейсы",3,"несколько площадок или FBO/FBS частично","официальный сайт",""
C7,"FBO/FBS и маркетплейсы",4,"FBO+FBS на 2+ площадках","официальный сайт",""
C7,"FBO/FBS и маркетплейсы",5,"широкий многоканальный цикл с регулярными отгрузками","официальная страница/кейс",""
C8,"Цена, WMS и условия",0,"нет открытой информации","нет",""
C8,"Цена, WMS и условия",1,"только заявка","официальный сайт",""
C8,"Цена, WMS и условия",2,"часть тарифов или отчетность","официальный сайт",""
C8,"Цена, WMS и условия",3,"прайс или WMS/кабинет","официальный сайт",""
C8,"Цена, WMS и условия",4,"WMS/кабинет + прайс/договор/SLA","официальный сайт",""
C8,"Цена, WMS и условия",5,"подробный прайс + WMS/онлайн-остатки + формализованная ответственность","официальные страницы",""
