participant,C1,C2,C3,C4,C5,C6,C7,C8,final_score,rank,status
"Преп-Центр",5,5,5,5,5,5,5,4,98,1,TOP10
"Helpberries",5,5,5,5,5,5,5,3,96,2,TOP10
"FullBox",5,5,5,5,5,3,5,4,94,3,TOP10
"Родной Дом",5,5,5,5,5,2,5,4,92,4,TOP10
"WBBK",5,5,4,5,4,3,5,5,91,5,TOP10
"Нитропак",5,5,5,5,3,3,4,5,90,6,TOP10
"UpMarket",5,5,5,3,2,5,5,5,88,7,TOP10
"Full-Fix",4,4,4,5,4,4,5,4,85,8,TOP10
"U2Pack",5,2,5,4,5,5,3,3,80,9,TOP10
"LOGIDEX",4,3,4,5,2,3,5,5,78,10,TOP10
"Fulfilment Evolution",3,3,4,4,3,5,4,5,76,11,CANDIDATE
"TWOBOX",3,4,4,4,3,3,4,5,75,12,CANDIDATE
"HappyBrands Fulfillment",2,4,3,4,5,3,5,4,73,13,CANDIDATE
"E-Fulfillment",2,3,3,4,2,4,5,5,68,14,CANDIDATE
"Easyful",2,3,3,4,2,3,5,5,66,15,CANDIDATE
