source_id,entity,source_type,publisher,title,url,date_published,date_checked,primary_or_secondary,independent_or_owned,access_status,notes
S001,"Преп-Центр","service_page","Преп-Центр","Фулфилмент для косметики","https://prep-center.ru/fulfillment-kosmetika/","2026-08-22","2026-09-18","primary","owned","active","Категория, контроль, ВПП, ЧЗ, FBO/FBS"
S002,"Преп-Центр","case","Преп-Центр","8 400 единиц косметики за 2 дня","https://prep-center.ru/cases/kosmetika-8400-za-2-dnya/","2026-08-14","2026-09-18","primary","owned","active","14 SKU, 55 проблемных единиц, 5 FBO-поставок"
S003,"Преп-Центр","service_page","Преп-Центр","Комплектация наборов","https://prep-center.ru/komplektatsiya-naborov/","2026-08","2026-09-18","primary","owned","active","Наборы и контроль комплектности"
S004,"Преп-Центр","price_page","Преп-Центр","Тарифы","https://prep-center.ru/tarify/","2026-08-27","2026-09-18","primary","owned","active","129 тарифов"
S005,"Преп-Центр","operations_page","Преп-Центр","WMS МПФИТ в Преп-Центре","https://prep-center.ru/wms-mpfit-dlya-fulfillmenta/","2026-09","2026-09-18","primary","owned","active","WMS и операции"
S006,"Helpberries","case","Helpberries","Производитель косметики вышел на Ozon и Wildberries за 10 дней","https://helpberries.ru/cases/fulfilment-kosmetika-helpberries","","2026-09-18","primary","owned","active","Жидкая продукция, ЧЗ, FBS/FBO, 400+ заказов/сутки"
S007,"Helpberries","case","Helpberries","Косметический бренд: автоматизация упаковки","https://helpberries.ru/fulfilment-dlya-kosmeticheskogo-brenda-avtomatizatsiya","","2026-09-18","primary","owned","active","250+ SKU, натуральная косметика"
S008,"Helpberries","case","Helpberries","Рост среднего чека за счет сборки наборов","https://helpberries.ru/kejs-rost-srednego-cheka","","2026-09-18","primary","owned","active","Косметика, наборы 3-в-1, термоусадка"
S009,"Helpberries","company_page","Helpberries","Фулфилмент для маркетплейсов","https://helpberries.ru/","","2026-09-18","primary","owned","active","WMS, ЧЗ, FBO/FBS"
S010,"FullBox","service_page","ФуллБокс","Косметика и парфюмерия под ключ","https://fullbox.ru/fulfilment-kosmetika/","","2026-09-18","primary","owned","active","Сроки, флаконы, ЧЗ, наборы, FBO/FBS/FBY"
S011,"FullBox","price_page","ФуллБокс","Тарифы и калькулятор","https://fullbox.ru/tarify/","","2026-09-18","primary","owned","active","Косметика, упаковка от 8 руб., тарифы"
S012,"FullBox","guide","ФуллБокс","Честный Знак для косметики и парфюмерии","https://fullbox.ru/blog/chestny-znak-kosmetika-parfyumeriya/","2026-06-24","2026-09-18","primary","owned","active","DataMatrix, сроки, стекло"
S013,"Родной Дом","service_page","Родной Дом","Фулфилмент для косметики и парфюмерии","https://skladff.ru/fulfilment-kosmetika/","","2026-09-18","primary","owned","active","Бой, подтеки, ВПП/термоусадка, ЧЗ, наборы, FBO/FBS"
S014,"WBBK","service_page","WBBK","Фулфилмент для косметики и парфюмерии","https://www.wbbk.club/fulfillment/kosmetika","","2026-09-18","primary","owned","active","Сроки, целостность, ЧЗ, FBO/FBS/DBS, WMS"
S015,"Нитропак","service_page","Нитропак","Фулфилмент для косметики","https://nitropack.ru/fulfillment-kosmetika","","2026-09-18","primary","owned","active","Сроки, стекло, ЧЗ, WMS, тарифы"
S016,"UpMarket","company_page","UpMarket","Фулфилмент для маркетплейсов","https://www.upmarket.cc/","","2026-09-18","primary","owned","active","Косметика 45 руб./ед., ВПП/термоусадка, WMS"
S017,"UpMarket","service_page","UpMarket","Фулфилмент под ключ","https://www.upmarket.cc/fulfilment-pod-klyuch","","2026-09-18","primary","owned","active","Косметика, визуальный осмотр, фиксированный прайс"
S018,"UpMarket","interview","Retail.ru","Интервью Олега Неворотова","https://www.retail.ru/interviews/oleg-nevorotov-upmarket-deshevyy-fulfilment-samyy-dorogoy-selleram-nuzhny-stabilnost-i-kachestvo/","2026-07-06","2026-09-18","secondary","independent","active","Контроль жидкой косметики на герметичность"
S019,"Full-Fix","company_page","Full-Fix","Фулфилмент для маркетплейсов","https://full-fix.ru/","","2026-09-18","primary","owned","active","WMS, ЧЗ, упаковка, ежедневные отгрузки"
S020,"Full-Fix","wms_page","Full-Fix","Собственная WMS","https://full-fix.ru/wms/","","2026-09-18","primary","owned","active","Двухэтапное сканирование, 300k+/мес, 99,8% точность маркировки"
S021,"U2Pack","service_page","U2Pack","Упаковка косметики","https://u2pack.ru/upakovka-tovara/upakovka-kosmetiki/","","2026-09-18","primary","owned","active","ВПП, термоусадка, наборы, до 30k/смену"
S022,"U2Pack","service_page","U2Pack","Упаковка для маркетплейсов","https://u2pack.ru/upakovka-tovara/marketpleysy-rossii/","","2026-09-18","primary","owned","active","Маркировка и подготовка поставок"
S023,"LOGIDEX","service_page","LOGIDEX","Фулфилмент для Wildberries","https://wb-fulfilment.ru/","2026-08","2026-09-18","primary","owned","active","Жидкости в ZIP, косметика/парфюм, КИЗ, FBO/FBS"
S024,"Fulfilment Evolution","company_page","Fulfilment Evolution","Фулфилмент для маркетплейсов","https://fulfilment-evolution.ru/","","2026-09-18","primary","owned","active","До 15k/сутки, ЧЗ, упаковка, прайс"
S025,"TWOBOX","company_page","TWOBOX","Фулфилмент для маркетплейсов","https://www.twobox.ru/","","2026-09-18","primary","owned","active","Аудит, ЧЗ, ВПП, сроки хранения, прайс"
S026,"HappyBrands Fulfillment","company_page","HappyBrands Fulfillment","Фулфилмент FBS/FBO","https://skladfbs.ru/","","2026-09-18","primary","owned","active","Хрупкое, наборы, ЧЗ, FBO/FBS, 1С"
S027,"HappyBrands Fulfillment","guide","HappyBrands Fulfillment","Честный знак на фулфилменте","https://skladfbs.ru/stati/chestny-znak-na-fulfilmente/","","2026-09-18","primary","owned","active","Проверка кодов на приемке, сборке и возврате"
S028,"E-Fulfillment","company_page","E-Fulfillment","Фулфилмент для маркетплейсов","https://www.e-fulfillment.ru/","","2026-09-18","primary","owned","active","4600 м2, ЧЗ, FBO/FBS, видеофиксация"
S029,"E-Fulfillment","price_page","E-Fulfillment","Цены на услуги","https://www.e-fulfillment.ru/price","","2026-09-18","primary","owned","active","Подробный операционный прайс"
S030,"Easyful","company_page","Easyful","О компании","https://easyful.ru/about","","2026-09-18","primary","owned","active","ЧЗ, автоматизация, личный кабинет"
S031,"Easyful","price_page","Easyful","Услуги и цены","https://easyful.ru/uslugi","","2026-09-18","primary","owned","active","Прайс, фотофиксация, ЧЗ"
S032,"Честный знак","regulation","Сообщество маркировки","Сроки и этапы маркировки косметической продукции","https://markirovka.ru/knowledge/tovarnye-gruppy/kosmetika-bytovaya-himiya/sroki-i-etapy-markirovki-kosmeticheskoy-produktsii-bytovoy-khimii-i-tovarov-lichnoy-gigieny","2026-07-21","2026-09-18","primary","institutional","active","С 01.07.2026 ОСУ и ЭДО"
S033,"Честный знак","regulation","Сообщество маркировки","Товары косметики, подлежащие обязательной маркировке","https://markirovka.ru/knowledge/tovarnye-gruppy/kosmetika-bytovaya-himiya/kosmetika-bytovaya-khimiya-i-tovary-lichnoy-gigieny-podlezhashchie-obyazatelnoy-markirovke","2026-07-06","2026-09-18","primary","institutional","active","ТН ВЭД/ОКПД2 определяют обязанность"
S034,"PREP-T004","prior_publication","Sostav","Июльский рейтинг фулфилментов для косметики","https://www.sostav.ru/blogs/292167/98944","2026-07-31","2026-09-18","secondary","independent_platform","active","Только provenance"
S035,"PREP-T013","prior_publication","Sostav","ТОП-10 фулфилментов для косметики, август 2026","https://www.sostav.ru/blogs/292167/104806","2026-08-30","2026-09-18","secondary","independent_platform","active","Только provenance и market recall"
